Volume TOTAL,% IPRO,Row Labels
14340118,0.94599382,AGUANIL
15595891,0.971631182,ALFENAS
13782334,0.91375024,ALPINÓPOLIS
18326619,0.707942747,ANGATUBA
18217017,0.961463394,ARAÇATUBA
62740970,0.625777223,ARAGUARI
18397340,0.846866993,ARARAQUARA
31644612,0.555466883,ARAXÁ
19784536,0.834622151,ASSIS
53515190,0.887634894,AVARÉ
36786024,0.864413969,BAMBUÍ
14155269,0.974143904,BARIRI
21108815,0.819171706,BARRETOS
16938239,0.729576552,BATATAIS
1551690,0.85686574,BAURU
0,0,BEBEDOURO
33874667,0.963694669,BIRIGUI
9704746,0.966492683,BOA ESPERANÇA
14414483,0.924710099,BOM JESUS DA PENHA
951512,1,BRAGANÇA PAULISTA
17003144,0.722161972,BURI
36951196,0.865396211,BURITAMA
2975476,0.989426902,CAMPANHA
16541220,0.813849281,CAMPINA DO MONTE ALEGRE
57948059,0.518285453,CAMPO ALEGRE DE GOIÁS
53191455,0.783291715,CAMPO FLORIDO
28662753,0.818638042,CAMPOS NOVOS PAULISTA
49400291,0.890059555,CÂNDIDO MOTA
29764564,0.599018652,CAPÃO BONITO
78517731.55,0.569731546,CAPINÓPOLIS
14606114,0.989720058,CARDOSO
11045850,1,CARMO DO RIO CLARO
36182556,0.5607375,CASA BRANCA
1206680,0.935291875,CÁSSIA
55267172,0.63387915,CATALÃO
23933910,0.335235237,CENTRALINA
19755951,0.743124135,CERQUILHO
35493902,0.845593449,COLINA
47154858,0.783653913,CONCEIÇÃO DAS ALAGOAS
31477180,0.980596133,COROADOS
25345780,0.750931161,COROMANDEL
113670535,0.468699738,CRISTALINA
23297176,0.398198219,CRUZÁLIA
3101000,0.993537569,DOIS CÓRREGOS
10016193,0.477376384,FLORÍNIA
27818711,0.795809015,FORMIGA
49515195,0.705957838,FRUTAL
70072507,0.810588723,GUAÍRA
40354314,0.203794246,GUARDA-MOR
121556080,0.878727333,GUARUJÁ
45978474,0.595589645,IBIÁ
20147848,0.858478285,IBIRAREMA
30127493,0.911470729,IEPÊ
7856518,0.99516147,IGUATAMA
8740421,0.995650782,Iguatama 
2441746,1,ILICINEA
113652030,0.331731233,IPAMERI
23436980,0.965361151,IPAUSSU
11134564,0.600495628,IPUÃ
47009015,0.634778606,IRAÍ DE MINAS
29128022,0.830403108,ITABERÁ
9181420,0.897252277,ITAÍ
41510271,0.861533908,ITAPETININGA
46812944,0.927068633,ITAPEVA
11716087,0.872103032,ITÁPOLIS
33174489,0.817513964,ITARARÉ
32990,1,ITUIUTABA
14793860,0.780879365,ITUVERAVA
76348539,0.852203026,JABOTICABAL
0,0,JAU
4308140,0.779348396,JERIQUARA
3490092,0.995691231,LAVRAS
11629746,0.978007,LEME
7670628,0.988256894,LUZ
14402846,0.956182132,MACHADO
8413701,0.895044642,MADRE DE DEUS DE MINAS
24563941,0.518702068,MARACAÍ
2285380,0.970765912,MARTINHO CAMPOS
2638553,0.547400033,MIGUELÓPOLIS
4800257,0.982094084,MINDURI
0,0,MONTE CARMELO
19119396,0.853112044,MORRO AGUDO
57895279,0.893998265,NANTES
0,0,NAZARENO
40270122,0.551149112,NOVA PONTE
60256030,0.454638814,ORIZONA
19292096,0.863794426,ORLÂNDIA
6920020,0.958644628,OSVALDO CRUZ
37802473,0.766628363,PALMITAL
46142159,0.628305277,PARACATU
2219866,0.729317896,PARAGUAÇU
6319707,0.621900667,PARAGUAÇU PAULISTA
26532950,0.825061292,PARANAPANEMA
30060899,0.82303164,PASSOS
65774484,0.79546415,PATOS DE MINAS
80056475.17,0.551722168,PATROCÍNIO
41729098,0.297477506,PEDRINHAS PAULISTA
8541650298,0.77967314,PEDRINÓPOLIS
47529823,0.763926325,PERDIZES
26514362,0.912971317,PILAR DO SUL
25216205,0.828551679,PIRACICABA
15743011,0.950468687,PIRAJU
6331567,0.677209765,PIRAJUBA
40220720,0.637934378,PIRAPORA
35351604,0.880519141,PIRASSUNUNGA
42526611,0.480957535,PIRES DO RIO
24994288,0.811089758,PLANURA
5063457,0.785108079,PLATINA
15973163,0.905620446,PRATÁPOLIS
4172706,0.759901369,Pratapolis 
3601924,0.947659917,PROMISSÃO
41095382,0.905745833,RIBEIRÃO DO SUL
11811247,0.740392949,RIOLÂNDIA
40988364,0.40228378,SACRAMENTO
12774783,0.578203951,SALTO GRANDE
0,0,SANDOVALINA
10457338,0.929013101,SANTA CRUZ DAS PALMEIRAS
38499228,0.985813352,SANTA CRUZ DO RIO PARDO
33320988,0.373839875,SANTA JULIANA
23272389,0.532657691,SANTA LUZIA
46910196.21,0.898728413,SANTOS
0,0,SÃO GONÇALO DO SAPUCAÍ
86649848,0.874910225,SÃO GOTARDO
19544044,0.925032455,SÃO JOÃO BATISTA DO GLÓRIA
3402818,0.386234879,SÃO JOÃO DA BOA VISTA
0,0,SÃO JOAQUIM DA BARRA
4988650,0.948368797,SÃO JOSÉ DO RIO PRETO
9007596.97,0.679138203,SÃO MIGUEL ARCANJO
9817562,0.921499146,SÃO PEDRO DA UNIÃO
2441097,0.681802894,SÃO ROQUE DE MINAS
0,0,SÃO SEBASTIÃO DO PARAÍSO
21127181,0.836955579,SERTÃOZINHO
11492784,0.755011144,TACIBA
20037963,0.776474984,TAGUAÍ
69644597,0.871072439,TAQUARITUBA
37407980,0.819390408,TAQUARIVAÍ
25982228,0.931675721,TATUÍ
1740648,0.536510541,TIETÊ
17435396,0.954315749,TRÊS CORAÇÕES
6606490,0.843326789,TRÊS PONTAS
3660530,1,TUPÃ
41455826,0.629882806,TUPACIGUARA
47136298,0.375535559,UBERABA
166582717,0.54398226,UBERLÂNDIA
8300547,0.338961276,VAZANTE
3106440,0.903909298,VOTORANTIM
16403160,0.95273996,VOTUPORANGA
166582717,0.641210877,Grand Total
